Timestamp,Name,Discord Name,Pronouns,Profile pic link,Suggested Event
2020/03/06 11:22:08 PM AST,Max,Aoki,He/Him,https://cdn.discordapp.com/attachments/625548888434278410/685689010462654509/WokeHarold.png,"""(Player1) simps for (Player2)"""
2020/03/06 11:22:51 PM AST,Ibrahim,gum,He/Him,https://cdn.discordapp.com/attachments/644646384783589416/651593668116873228/image0.png,
2020/03/06 11:23:08 PM AST,Sam,TheEpicIronman,He/Him,https://cdn.discordapp.com/attachments/672705806176878592/688259168955531315/download.png,(Player1) radiated so much retard energy it killed (player2)
2020/03/06 11:23:43 PM AST,Scarlett,Monti,She/Her,https://cdn.discordapp.com/attachments/672705806176878592/688382463558287402/unknown.png,
2020/03/06 11:24:29 PM AST,Jenna,Jenna,She/Her,https://stayhipp.com/wp-content/uploads/2020/01/doomer-girljpg.jpg,(Player1) is a boomer.
2020/03/06 11:26:44 PM AST,Tupac,VenuxCore5,He/Him,https://www.biography.com/.image/t_share/MTQ3Mzg1Mzg5MzI4NDQzMDYz/tupac_shakur_photo_by_steve_eichner_archive_photos_getty_83928439.jpg,(Player1) creates a fire mixtape.
2020/03/06 11:29:14 PM AST,Samey,BIG IRON,He/Him,https://i.kym-cdn.com/photos/images/newsfeed/001/442/697/eba.jpg,
2020/03/06 11:29:28 PM AST,James,Rice,He/Him,https://cdn.discordapp.com/attachments/625484062080892928/685690362085638154/AdobeStock_112422230.png,(Player1) is stuck on the LRT for 2 weeks and dies of starvation.
2020/03/06 11:36:06 PM AST,Marita,BMOre,She/Her,https://cdn.discordapp.com/attachments/678403369760587777/685694696391311380/image0.jpg,
2020/03/07 12:42:50 AM AST,Phil,InfernoKoala,He/Him,https://cdn.discordapp.com/attachments/672705806176878592/688374584285593610/unknown.png,
2020/03/07 7:58:00 AM AST,Dish,Dish,He/Him,https://cdn.discordapp.com/avatars/142385080357093376/79d166ab5fd07baeb0996fc2e5863c51.jpg,Dish cums all over (Player1)
2020/03/07 11:25:14 AM AST,Kristofer,Kroboski88,He/Him,https://cdn.discordapp.com/attachments/685870740955856924/685876679461044305/WIN_20190324_13_32_57_Pro.jpg,
2020/03/07 8:02:52 PM AST,Baby Jesus,I AM GOAT KACHOWSKI,He/Him,https://www.thesun.co.uk/wp-content/uploads/2020/02/NINTCHDBPICT000566202873.jpg,
2020/03/08 11:30:07 AM AST,Howard,howardt1234,He/Him,https://cdn.discordapp.com/avatars/211981146941030401/94177876a4b68d4e1b42b016362e6f4b.jpg,
2020/03/08 12:07:39 PM AST,Tenzen,kramet,He/Him,https://cdn.discordapp.com/attachments/627040793768493056/686243820203278346/brandon.JPG,
2020/03/08 6:21:54 PM AST,Ryan,zenni,He/Him,https://pbs.twimg.com/profile_images/1191087678210613248/Pf1y3o76_400x400.jpg,
2020/03/08 10:25:04 PM AST,Bri,bree,She/Her,https://cdn.discordapp.com/attachments/592341866146562050/686400076679217156/image0.jpg,
2020/03/08 10:33:55 PM AST,shang,shang,He/Him,https://img.medscape.com/thumbnail_library/dt_200121_coronavirus_800x450.jpg,(Player1) steals Kevin's luck
2020/03/09 3:11:07 PM AST,izzy ,izzeous,She/Her,https://cdn.discordapp.com/attachments/651592455388659734/688117996907921448/dumb_thicc_bicc.jpg,
2020/03/09 8:32:52 PM AST,dalton,fxlcon,He/Him,https://cdn.discordapp.com/attachments/624057092529061909/686733360394928131/image0.png,(Player1) applied to coop and got denied. 
2020/03/09 8:32:59 PM AST,Icarus,Icarus,He/Him,https://cdn.discordapp.com/attachments/686733337896943701/686733570349334594/andy_hahaa.jpg,(Player1) wishes for someone to rid  of their crippling depression
2020/03/09 8:48:56 PM AST,Luke,Chow,He/Him,https://cdn.discordapp.com/attachments/651625846481879045/686737622361833581/image0.jpg,
2020/03/09 8:51:09 PM AST,Ethan,ethanator10000,He/Him,https://cdn.discordapp.com/attachments/591308605047832602/591308634730921995/pfp.jpg,
2020/03/09 8:51:27 PM AST,Ahmed,Dice,He/Him,https://cdn.discordapp.com/attachments/631860698888273920/686738236663398442/image0-60.jpg,
